#fuzzer,benchmark,driver,run,execs_done,fuzz_time
aflplusplus,poppler_3_1,pdf_fuzzer,6,8571,0
aflplusplus,poppler_3_1,pdf_fuzzer,9,8543,0
aflplusplus,poppler_3_1,pdf_fuzzer,2,8595,0
aflplusplus,poppler_3_1,pdf_fuzzer,5,8596,0
aflplusplus,poppler_3_1,pdf_fuzzer,7,8555,0
aflplusplus,poppler_3_1,pdf_fuzzer,4,8581,0
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,0,357219,418
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,3,375352,420
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,1,380581,419
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,8,343488,413
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,6,375333,419
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,9,371234,414
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,2,364911,420
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,5,317065,419
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,7,363313,415
aflplusplus,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,4,370947,419
aflplusplus,openssl_1_5,client,0,98549,494
aflplusplus,openssl_1_5,client,3,99950,490
aflplusplus,openssl_1_5,client,1,98989,495
aflplusplus,openssl_1_5,client,8,99024,489
aflplusplus,openssl_1_5,client,6,99053,491
aflplusplus,openssl_1_5,client,9,98494,489
aflplusplus,openssl_1_5,client,2,99232,490
aflplusplus,openssl_1_5,client,5,99942,490
aflplusplus,openssl_1_5,client,7,99707,490
aflplusplus,openssl_1_5,client,4,98781,490
aflplusplus,libxml2_10_2,libxml2_xml_read_memory_fuzzer,0,573816,533
aflplusplus,libxml2_10_2,libxml2_xml_read_memory_fuzzer,3,525556,526
aflplusplus,libxml2_10_2,libxml2_xml_read_memory_fuzzer,1,555424,531
aflplusplus,libxml2_10_2,libxml2_xml_read_memory_fuzzer,8,525545,530
aflplusplus,libxml2_10_2,libxml2_xml_read_memory_fuzzer,6,551091,530
aflplusplus,libxml2_10_2,libxml2_xml_read_memory_fuzzer,9,557972,531
