aflgo,libpng_4_1,33.99,33.98,34.09,34.09,34.09,34.09,33.98,34.09,34.09,34.09
aflgo,libsndfile_15_1,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34
aflgo,libsndfile_2_1,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34,29.34
aflgo,libsndfile_7_1,29.39,29.39,29.39,29.39,29.39,29.39,29.39,29.39,29.39,29.39
aflgo,libtiff_10_1,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85,44.85
aflgo,libtiff_6_1,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76
aflgo,libtiff_7_1,44.81,44.80,44.80,44.80,44.80,44.80,44.80,44.81,44.82,44.81
aflgo,libtiff_9_1,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76
aflgo,libxml2_10_2,20.33,20.34,20.34,20.33,20.33,20.33,20.33,20.33,20.33,20.33
aflgo,libxml2_1_2,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35
aflgo,libxml2_12_2,20.36,20.34,20.35,20.35,20.35,20.36,20.35,20.35,20.35,20.35
aflgo,libxml2_14_1,22.08,22.08,22.09,22.08,22.07,22.07,22.07,22.06,22.07,22.07
aflgo,libxml2_15_1,22.07,22.06,22.07,22.08,22.07,22.06,22.07,22.08,22.06,22.07
aflgo,libxml2_16_1,22.07,22.08,22.07,22.05,22.09,22.05,22.04,22.06,22.07,22.07
aflgo,libxml2_16_2,20.30,20.30,20.30,20.29,20.31,20.31,20.30,20.31,20.30,20.31
aflgo,libxml2_2_1,22.08,22.09,22.08,22.08,22.09,22.08,22.08,22.07,22.09,22.08
aflgo,libxml2_8_1,22.10,22.10,22.11,22.11,22.09,22.10,22.10,22.11,22.11,22.10
aflgo,openssl_10_5,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83
aflgo,openssl_11_4,19.70,19.69,19.68,19.70,19.71,19.70,19.70,19.71,19.69,19.70
aflgo,openssl_11_6,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70
aflgo,openssl_12_6,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70,1.70
aflgo,openssl_1_3,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70
aflgo,openssl_13_2,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
aflgo,openssl_1_5,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84
aflgo,openssl_16_6,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72
aflgo,openssl_17_2,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93
aflgo,openssl_17_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
aflgo,openssl_18_5,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81
aflgo,openssl_19_1,13.64,13.63,13.64,13.62,13.63,13.63,13.63,13.63,13.59,13.62
aflgo,openssl_20_3,3.69,3.69,3.70,3.69,3.69,3.70,3.70,3.70,3.69,3.69
aflgo,openssl_20_4,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74
aflgo,openssl_4_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
aflgo,openssl_5_1,13.63,13.63,13.45,13.59,13.58,13.58,13.64,13.62,13.64,13.63
aflgo,openssl_6_4,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
