#fuzzer,benchmark,driver,run,execs_done,fuzz_time
aflgo,poppler_3_1,pdf_fuzzer,4,26726,0
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,0,1566773,578
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,3,1499643,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,1,1540292,578
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,8,1487784,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,6,1485018,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,9,1388260,577
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,2,1507467,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,5,1486868,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,7,1485127,579
aflgo,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,4,1497275,579
aflgo,openssl_1_5,client,0,135989,494
aflgo,openssl_1_5,client,3,135292,495
aflgo,openssl_1_5,client,1,134083,494
aflgo,openssl_1_5,client,8,133540,490
aflgo,openssl_1_5,client,6,136651,495
aflgo,openssl_1_5,client,9,134685,494
aflgo,openssl_1_5,client,2,136099,495
aflgo,openssl_1_5,client,5,134003,493
aflgo,openssl_1_5,client,7,133766,495
aflgo,openssl_1_5,client,4,133169,492
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,0,141950,554
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,3,81258,553
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,1,81422,554
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,8,81491,555
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,6,218689,554
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,9,81647,557
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,2,81548,554
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,5,89217,554
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,7,81193,556
aflgo,libxml2_10_2,libxml2_xml_read_memory_fuzzer,4,81513,554
aflgo,openssl_11_6,x509,0,12937829,593
aflgo,openssl_11_6,x509,3,12679909,592
aflgo,openssl_11_6,x509,1,12902097,593
aflgo,openssl_11_6,x509,8,12550594,592
aflgo,openssl_11_6,x509,6,12590768,592
aflgo,openssl_11_6,x509,9,12039997,592
aflgo,openssl_11_6,x509,2,12555704,593
aflgo,openssl_11_6,x509,5,12467500,592
aflgo,openssl_11_6,x509,7,12559763,592
aflgo,openssl_11_6,x509,4,12484198,592
aflgo,openssl_6_4,server,0,36142,405
aflgo,openssl_6_4,server,3,35457,403
aflgo,openssl_6_4,server,1,36075,404
aflgo,openssl_6_4,server,8,36146,405
aflgo,openssl_6_4,server,6,35212,401
aflgo,openssl_6_4,server,9,35512,401
aflgo,openssl_6_4,server,2,36049,404
aflgo,openssl_6_4,server,5,35947,404
aflgo,openssl_6_4,server,7,36355,404
aflgo,openssl_6_4,server,4,35984,403
aflgo,poppler_17_1,pdf_fuzzer,0,28506,0
aflgo,poppler_17_1,pdf_fuzzer,3,27871,0
aflgo,poppler_17_1,pdf_fuzzer,1,28243,0
aflgo,poppler_17_1,pdf_fuzzer,8,28736,0
aflgo,poppler_17_1,pdf_fuzzer,6,28388,0
aflgo,poppler_17_1,pdf_fuzzer,9,27875,0
aflgo,poppler_17_1,pdf_fuzzer,2,27846,0
aflgo,poppler_17_1,pdf_fuzzer,5,27870,0
aflgo,poppler_17_1,pdf_fuzzer,7,27846,0
aflgo,poppler_17_1,pdf_fuzzer,4,27816,0
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,0,176403,557
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,3,193151,557
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,1,203139,557
aflgo,libxml2_12_2,libxml2_xml_read_memory_fuzzer,8,83480,557
