#fuzzer,benchmark,driver,run,execs_done,fuzz_time
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,1,1005677,527
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,8,1073625,527
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,6,1079316,527
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,9,1091510,528
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,2,1097253,527
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,5,1084253,526
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,7,1100187,527
ffd,libxml2_14_1,libxml2_xml_reader_for_file_fuzzer,4,1098820,527
ffd,openssl_1_5,client,0,178730,508
ffd,openssl_1_5,client,3,175912,509
ffd,openssl_1_5,client,1,85197,509
ffd,openssl_1_5,client,8,323207,510
ffd,openssl_1_5,client,6,66869,510
ffd,openssl_1_5,client,9,182944,510
ffd,openssl_1_5,client,2,66873,509
ffd,openssl_1_5,client,5,93867,511
ffd,openssl_1_5,client,7,71161,510
ffd,openssl_1_5,client,4,92108,509
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,0,1289381,529
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,3,1235910,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,1,415177,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,8,1352331,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,6,2074407,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,9,680843,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,2,1043397,529
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,5,1046277,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,7,1455438,528
ffd,libxml2_10_2,libxml2_xml_read_memory_fuzzer,4,1483894,528
ffd,openssl_11_6,x509,0,189757,574
ffd,openssl_11_6,x509,3,151383,576
ffd,openssl_11_6,x509,1,136923,576
ffd,openssl_11_6,x509,8,150895,576
ffd,openssl_11_6,x509,6,349174,576
ffd,openssl_11_6,x509,9,278549,576
ffd,openssl_11_6,x509,2,286524,575
ffd,openssl_11_6,x509,5,328845,576
ffd,openssl_11_6,x509,7,274191,576
ffd,openssl_11_6,x509,4,147181,576
ffd,openssl_6_4,server,0,24316,449
ffd,openssl_6_4,server,3,25341,449
ffd,openssl_6_4,server,1,25335,450
ffd,openssl_6_4,server,8,20179,450
ffd,openssl_6_4,server,6,25385,449
ffd,openssl_6_4,server,9,25308,449
ffd,openssl_6_4,server,2,19236,450
ffd,openssl_6_4,server,5,25240,449
ffd,openssl_6_4,server,7,24094,449
ffd,openssl_6_4,server,4,25298,449
ffd,poppler_17_1,pdf_fuzzer,0,15759,0
ffd,poppler_17_1,pdf_fuzzer,3,15760,0
ffd,poppler_17_1,pdf_fuzzer,1,15760,0
ffd,poppler_17_1,pdf_fuzzer,8,15761,0
ffd,poppler_17_1,pdf_fuzzer,6,15760,0
ffd,poppler_17_1,pdf_fuzzer,9,15761,0
ffd,poppler_17_1,pdf_fuzzer,2,15760,0
ffd,poppler_17_1,pdf_fuzzer,5,15760,0
ffd,poppler_17_1,pdf_fuzzer,7,15760,0
ffd,poppler_17_1,pdf_fuzzer,4,15758,0
ffd,libxml2_12_2,libxml2_xml_read_memory_fuzzer,0,61129,527
ffd,libxml2_12_2,libxml2_xml_read_memory_fuzzer,3,714367,527
ffd,libxml2_12_2,libxml2_xml_read_memory_fuzzer,1,311313,527
ffd,libxml2_12_2,libxml2_xml_read_memory_fuzzer,8,1277751,528
