#fuzzer,benchmark,driver,run,execs_done,fuzz_time
windranger,openssl_1_5,client,6,152854,491
windranger,openssl_1_5,client,9,204300,499
windranger,openssl_1_5,client,2,155782,499
windranger,openssl_1_5,client,5,155396,491
windranger,openssl_1_5,client,7,153113,491
windranger,openssl_1_5,client,4,154120,498
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,0,1306589,546
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,3,1354425,552
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,1,1269010,552
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,8,1361318,552
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,6,1142343,552
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,9,1611839,551
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,2,1844655,551
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,5,1505532,552
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,7,1305233,551
windranger,libxml2_10_2,libxml2_xml_read_memory_fuzzer,4,2212697,552
windranger,openssl_11_6,x509,0,597108,584
windranger,openssl_11_6,x509,3,402833,584
windranger,openssl_11_6,x509,1,227864,584
windranger,openssl_11_6,x509,8,134628,584
windranger,openssl_11_6,x509,6,592083,584
windranger,openssl_11_6,x509,9,657227,584
windranger,openssl_11_6,x509,2,618006,584
windranger,openssl_11_6,x509,5,614287,584
windranger,openssl_11_6,x509,7,601020,584
windranger,openssl_11_6,x509,4,603876,584
windranger,openssl_6_4,server,0,42307,423
windranger,openssl_6_4,server,3,42351,416
windranger,openssl_6_4,server,1,42110,423
windranger,openssl_6_4,server,8,42763,422
windranger,openssl_6_4,server,6,40674,414
windranger,openssl_6_4,server,9,42221,424
windranger,openssl_6_4,server,2,42243,415
windranger,openssl_6_4,server,5,41871,424
windranger,openssl_6_4,server,7,41847,416
windranger,openssl_6_4,server,4,42382,424
windranger,poppler_17_1,pdf_fuzzer,0,18577,0
windranger,poppler_17_1,pdf_fuzzer,3,18577,0
windranger,poppler_17_1,pdf_fuzzer,1,18577,0
windranger,poppler_17_1,pdf_fuzzer,8,18577,0
windranger,poppler_17_1,pdf_fuzzer,6,18577,0
windranger,poppler_17_1,pdf_fuzzer,9,18577,0
windranger,poppler_17_1,pdf_fuzzer,2,18577,0
windranger,poppler_17_1,pdf_fuzzer,5,18576,0
windranger,poppler_17_1,pdf_fuzzer,7,18577,0
windranger,poppler_17_1,pdf_fuzzer,4,18577,0
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,0,75732,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,3,76114,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,1,76132,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,8,74926,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,6,76698,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,9,2130695,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,2,2116179,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,5,261893,551
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,7,2134893,552
windranger,libxml2_12_2,libxml2_xml_read_memory_fuzzer,4,76400,551
windranger,libsndfile_2_1,sndfile_fuzzer,0,433979,562
windranger,libsndfile_2_1,sndfile_fuzzer,3,431026,562
windranger,libsndfile_2_1,sndfile_fuzzer,1,432311,562
windranger,libsndfile_2_1,sndfile_fuzzer,8,442836,562
windranger,libsndfile_2_1,sndfile_fuzzer,6,441447,562
windranger,libsndfile_2_1,sndfile_fuzzer,9,436554,562
windranger,libsndfile_2_1,sndfile_fuzzer,2,432543,562
windranger,libsndfile_2_1,sndfile_fuzzer,5,424403,561
windranger,libsndfile_2_1,sndfile_fuzzer,7,438463,562
windranger,libsndfile_2_1,sndfile_fuzzer,4,420549,562
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,0,1497795,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,3,1435763,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,1,1404477,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,8,1431314,534
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,6,1450841,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,9,1408730,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,2,1439617,533
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,5,1524661,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,7,1086048,535
windranger,libxml2_8_1,libxml2_xml_reader_for_file_fuzzer,4,1383389,534
windranger,openssl_19_1,asn1,0,48707,434
windranger,openssl_19_1,asn1,3,49330,435
windranger,openssl_19_1,asn1,1,49968,434
windranger,openssl_19_1,asn1,8,49420,431
windranger,openssl_19_1,asn1,6,49034,435
windranger,openssl_19_1,asn1,9,49784,430
windranger,openssl_19_1,asn1,2,49238,435
windranger,openssl_19_1,asn1,5,49393,429
windranger,openssl_19_1,asn1,7,48821,425
windranger,openssl_19_1,asn1,4,49755,436
windranger,libsndfile_15_1,sndfile_fuzzer,0,453979,559
windranger,libsndfile_15_1,sndfile_fuzzer,3,436983,560
windranger,libsndfile_15_1,sndfile_fuzzer,1,453017,559
windranger,libsndfile_15_1,sndfile_fuzzer,8,413000,561
windranger,libsndfile_15_1,sndfile_fuzzer,6,436594,562
windranger,libsndfile_15_1,sndfile_fuzzer,9,424957,562
